test_name,tcp_flavor,time_iter,bits_per_second,rtt_ms,cwnd_size_bytes
amsterdam_lan_noload,cubic,40,341860737.197559,68.496,6287216
amsterdam_lan_noload,cubic,41,361677706.2716097,68.35,6287216
amsterdam_lan_noload,cubic,42,337621227.4639084,68.468,6287216
amsterdam_lan_noload,cubic,43,349345241.4882492,68.437,6287216
amsterdam_lan_noload,cubic,44,350203385.0091472,68.466,6287216
amsterdam_lan_noload,cubic,45,337633019.71159416,68.174,6287216
amsterdam_lan_noload,cubic,46,365970954.75351757,68.445,6287216
amsterdam_lan_noload,cubic,47,337438010.1794587,68.369,6287216
amsterdam_lan_noload,cubic,48,350295498.6872359,68.279,6287216
amsterdam_lan_noload,cubic,49,350297942.07125074,68.489,6287216
amsterdam_lan_noload,cubic,50,337380692.5702513,68.457,6287216
amsterdam_lan_noload,cubic,51,361964305.82963055,68.643,6287216
amsterdam_lan_noload,cubic,52,270518257.51126665,67.314,1537776
amsterdam_lan_noload,cubic,53,122686828.97128394,67.191,809432
amsterdam_lan_noload,cubic,54,83886500.00210287,67.552,611056
amsterdam_lan_noload,cubic,55,72343137.2739497,67.281,657392
amsterdam_lan_noload,cubic,56,82879024.4883113,67.25,687800
amsterdam_lan_noload,cubic,57,75426645.50689675,67.714,514040
amsterdam_lan_noload,cubic,58,61898480.56061995,67.481,551688
amsterdam_lan_noload,cubic,59,59653757.23436945,67.388,574856
amsterdam_lan_noload,reno,0,97426768.373275,67.097,679112
amsterdam_lan_noload,reno,1,87004665.09279205,67.371,700832
amsterdam_lan_noload,reno,2,48238259.66865076,67.063,366344
amsterdam_lan_noload,reno,3,36708896.76686228,67.061,199824
amsterdam_lan_noload,reno,4,24112352.86877733,67.335,220096
amsterdam_lan_noload,reno,5,24117706.57121922,67.123,241816
amsterdam_lan_noload,reno,6,25152567.986240964,67.142,263536
amsterdam_lan_noload,reno,7,36708235.83919063,67.216,285256
amsterdam_lan_noload,reno,8,36711356.85250606,68.041,305528
amsterdam_lan_noload,reno,9,36686694.31751685,68.43,327248
amsterdam_lan_noload,reno,10,38791184.84279863,67.206,348968
amsterdam_lan_noload,reno,11,34620698.8523596,67.121,188240
amsterdam_lan_noload,reno,12,23070333.119604617,67.073,209960
amsterdam_lan_noload,reno,13,24115534.62173336,68.034,230232
amsterdam_lan_noload,reno,14,23059540.116347015,67.064,251952
amsterdam_lan_noload,reno,15,35651656.25014642,67.107,272224
amsterdam_lan_noload,reno,16,35663709.122358434,67.913,293944
amsterdam_lan_noload,reno,17,33562856.114411935,67.795,315664
amsterdam_lan_noload,reno,18,35651584,67.108,335936
amsterdam_lan_noload,reno,19,47185779.3754191,68.182,357656
amsterdam_lan_noload,reno,20,35650691.52234224,67.066,379376
